작업 호기,제품명,실제 기계 밀도,RPM,생산량(YD)
5,6KOS-FD2,67.0,560.0,111
5,6KOS-FD2,67.0,560.0,111
5,6KOS-FD2,67.0,560.0,111
6,6KOS-FD2,67.0,560.0,111
6,6KOS-FD2,67.0,560.0,111
6,6KOS-FD2,67.0,560.0,111
7,6KOS-FD2,67.0,560.0,111
7,6KOS-FD2,67.0,560.0,111
7,6KOS-FD2,67.0,560.0,111
8,6KOS-FD2,67.0,560.0,111
8,6KOS-FD2,67.0,560.0,111
8,6KOS-FD2,67.0,560.0,111
9,6KOS-FD2,67.0,560.0,111
9,6KOS-FD2,67.0,560.0,111
9,6KOS-FD2,67.0,560.0,111
10,6KOS-FD2,67.0,560.0,111
10,6KOS-FD2,67.0,560.0,111
10,6KOS-FD2,67.0,560.0,111
5,6KOS-FD2,67.0,560.0,111
5,6KOS-FD2,67.0,560.0,111
5,6KOS-FD2,67.0,560.0,111
6,6KOS-FD2,67.0,560.0,111
6,6KOS-FD2,67.0,560.0,111
6,6KOS-FD2,67.0,560.0,111
7,6KOS-FD2,67.0,560.0,111
7,6KOS-FD2,67.0,560.0,111
7,6KOS-FD2,67.0,560.0,111
8,6KOS-FD2,67.0,560.0,111
8,6KOS-FD2,67.0,560.0,111
8,6KOS-FD2,67.0,560.0,111
9,6KOS-FD2,67.0,560.0,111
9,6KOS-FD2,67.0,560.0,111
9,6KOS-FD2,67.0,560.0,111
10,6KOS-FD2,67.0,560.0,111
10,6KOS-FD2,67.0,560.0,111
10,6KOS-FD2,67.0,560.0,130
5,P 210T,70.0,562.0,111
5,P 210T,70.0,562.0,111
5,P 210T,70.0,562.0,111
5,P 210T,70.0,562.0,111
5,P 210T,70.0,562.0,111
5,P 210T,70.0,562.0,111
5,P 210T,70.0,562.0,111
5,P 210T,70.0,562.0,111
5,P 210T,70.0,562.0,112
5,N MGB,70.0,568.0,106
5,N MGB,70.0,568.0,106
5,N MGB,70.0,568.0,106
6,N MGB,70.0,568.0,106
6,N MGB,70.0,568.0,106
6,N MGB,70.0,568.0,106
7,N MGB,70.0,568.0,106
7,N MGB,70.0,568.0,106
7,N MGB,70.0,568.0,106
8,N MGB,70.0,568.0,106
8,N MGB,70.0,568.0,106
8,N MGB,70.0,568.0,106
9,N MGB,70.0,568.0,106
9,N MGB,70.0,568.0,106
9,N MGB,70.0,568.0,106
10,N MGB,70.0,568.0,106
10,N MGB,70.0,568.0,106
10,N MGB,70.0,568.0,106
11,N MGB,70.0,568.0,106
11,N MGB,70.0,568.0,106
11,N MGB,70.0,568.0,106
12,N MGB,70.0,568.0,106
12,N MGB,70.0,568.0,106
12,N MGB,70.0,568.0,106
13,N MGB,70.0,568.0,106
13,N MGB,70.0,568.0,106
13,N MGB,70.0,568.0,106
15,N MGB,70.0,568.0,106
15,N MGB,70.0,568.0,106
15,N MGB,70.0,568.0,106
